name,sku,price,stock_qty,warranty_months,thumbnail_url,category,description,brand
42U Rack cabinet ,42U-Rack-cabinet,1200,10,24,"https://static.wixstatic.com/media/f39d46_d1ad39b112dd46d6be2ab2df7ce048ed~mv2.png/v1/fit/w_500,h_500,q_90/file.png",,600*1000 indoor wall mounted Rack cabinet,
42U Rack cabinet ,42U-Rack-cabinet,1010,10,24,"https://static.wixstatic.com/media/f39d46_d1ad39b112dd46d6be2ab2df7ce048ed~mv2.png/v1/fit/w_500,h_500,q_90/file.png",,600*800 indoor wall mounted Rack cabinet,
42U Rack cabinet ,42U-Rack-cabinet,920,10,24,"https://static.wixstatic.com/media/f39d46_d1ad39b112dd46d6be2ab2df7ce048ed~mv2.png/v1/fit/w_500,h_500,q_90/file.png",,600*600 indoor wall mounted Rack cabinet,
27U Rack cabinet ,27U-Rack-cabinet,930,10,24,"https://static.wixstatic.com/media/f39d46_3a7174bb6da74d94baab005d89943e4c~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,600*1000 indoor wall mounted Rack cabinet,
27U Rack cabinet ,27U-Rack-cabinet,830,10,24,"https://static.wixstatic.com/media/f39d46_3a7174bb6da74d94baab005d89943e4c~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,600*800 indoor wall mounted Rack cabinet,
27U Rack cabinet ,27U-Rack-cabinet,690,10,24,"https://static.wixstatic.com/media/f39d46_3a7174bb6da74d94baab005d89943e4c~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,600*600 indoor wall mounted Rack cabinet,
22U Rack cabinet ,22U-Rack-cabinet,880,10,24,"https://static.wixstatic.com/media/f39d46_33ec3334fc044a3b9cfc6b63d4e1ae1a~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,600*1000 indoor wall mounted Rack cabinet,
22U Rack cabinet ,22U-Rack-cabinet,760,10,24,"https://static.wixstatic.com/media/f39d46_33ec3334fc044a3b9cfc6b63d4e1ae1a~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,600*800 indoor wall mounted Rack cabinet,
22U Rack cabinet ,22U-Rack-cabinet,660,10,24,"https://static.wixstatic.com/media/f39d46_33ec3334fc044a3b9cfc6b63d4e1ae1a~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,600*600 indoor wall mounted Rack cabinet,
18U Rack cabinet ,18U-Rack-cabinet,680,10,24,"https://static.wixstatic.com/media/f39d46_6a1fcfd0ec1547ce937c808843cb456a~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,600*1000 indoor wall mounted Rack cabinet,
