Ad,Qiymət,Müqayisə Qiyməti,Endirimli Qiymət,Formatlı Qiymət,Valyuta,SKU,Stokda,Kateqoriya (Ribbon),Məhsul URL,Şəkil URL
Hi-509FAİP5A  5.0MP Full-Color Video & Audio DOME IP Camera / H.265 ,123,0,123,"123,00AZN",AZN,Hi-509FAİP5A,Bəli,5mp-ip,https://avitelservice.wixsite.com/-site/product-page/hi-509faip5a-5-0mp-full-color-vidoe-audio-dome-ip-camera-h-265,"https://static.wixstatic.com/media/f39d46_28deee0ca8734ed4b3e445a2870b08f5~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
22U Rack cabinet ,880,0,880,"880,00AZN",AZN,,Bəli,22U,https://avitelservice.wixsite.com/-site/product-page/22u-rack-cabinet-2,"https://static.wixstatic.com/media/f39d46_33ec3334fc044a3b9cfc6b63d4e1ae1a~mv2.jpg/v1/fit/w_458,h_729,q_90/file.jpg"
15U Rack cabinet ,350,0,350,"350,00AZN",AZN,,Bəli,15U,https://avitelservice.wixsite.com/-site/product-page/15u-rack-cabinet,"https://static.wixstatic.com/media/f39d46_4d16457bbdd54561b38e7766b60716c3~mv2.png/v1/fit/w_1000,h_998,q_90/file.png"
Hi-88AiP8K   8.0MP Full-Color Video & Audio Bullet IP Camera / H.265            ,168,0,168,"168,00AZN",AZN,Hi-88AiP8K,Bəli,4K-İP,https://avitelservice.wixsite.com/-site/product-page/hi-88aip8k-8-0mp-full-color-vidoe-audio-bullet-ip-camera-h-265,"https://static.wixstatic.com/media/f39d46_b5ffb1fdb37845e7a5241af7a506cdde~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
Kabel,0.6,0,0.6,"0,60AZN",AZN,,Bəli,,https://avitelservice.wixsite.com/-site/product-page/kabel,"https://static.wixstatic.com/media/f39d46_06641564e1d24d6fbe6a608dd951d63c~mv2.jpg/v1/fit/w_1200,h_740,q_90/file.jpg"
HI-66AVIP3B,65,0,65,"65,00AZN",AZN,HI-66AVIP3B,Bəli,3mp-ip,https://avitelservice.wixsite.com/-site/product-page/hi-66avip3b,"https://static.wixstatic.com/media/f39d46_dccbbf20212d4260831fe1d0ea1aeb69~mv2.jpg/v1/fit/w_1280,h_1280,q_90/file.jpg"
22U Rack cabinet ,760,0,760,"760,00AZN",AZN,,Bəli,22U,https://avitelservice.wixsite.com/-site/product-page/22u-rack-cabinet-1,"https://static.wixstatic.com/media/f39d46_33ec3334fc044a3b9cfc6b63d4e1ae1a~mv2.jpg/v1/fit/w_458,h_729,q_90/file.jpg"
Hi-8GiP3B   3.0MP Full-Color Video & Audio Bullet IP Camera  H.265 .,192,0,192,"192,00AZN",AZN,632835642834572,Bəli,3m-ip,https://avitelservice.wixsite.com/-site/product-page/hi-8gip3b-3-0mp-full-color-video-audio-bullet-ip-camera-h-265,"https://static.wixstatic.com/media/f39d46_44cad2fa9c594811bb723d371f726c89~mv2.jpg/v1/fit/w_1280,h_904,q_90/file.jpg"
12U Rack cabinet ,260,0,260,"260,00AZN",AZN,,Bəli,12U,https://avitelservice.wixsite.com/-site/product-page/12u-rack-cabinet,"https://static.wixstatic.com/media/f39d46_4d16457bbdd54561b38e7766b60716c3~mv2.png/v1/fit/w_1000,h_998,q_90/file.png"
22U Rack cabinet ,660,0,660,"660,00AZN",AZN,,Bəli,22U,https://avitelservice.wixsite.com/-site/product-page/22u-rack-cabinet,"https://static.wixstatic.com/media/f39d46_33ec3334fc044a3b9cfc6b63d4e1ae1a~mv2.jpg/v1/fit/w_458,h_729,q_90/file.jpg"
